
1610290070950,ribcage,1796,1610290070350,
1610290070950,ribcage,1804,1610290070450,
1610290070950,ribcage,1802,1610290070550,
1610290070950,ribcage,1807,1610290070650,
1610290070950,ribcage,1814,1610290070750,
1610290070950,ribcage,1812,1610290070850,
1610290070950,ribcage,1827,1610290070950,
1610290071373,rr,1044,
1610290071373,heartrate,68,
1610290071409,abdomen,1774,1610290070809,
1610290071409,abdomen,1784,1610290070909,
1610290071409,abdomen,1793,1610290071009,
1610290071409,abdomen,1796,1610290071109,
1610290071409,abdomen,1787,1610290071209,
1610290071409,abdomen,1794,1610290071309,
1610290071409,abdomen,1784,1610290071409,
1610290071654,ribcage,1830,1610290071054,
1610290071654,ribcage,1834,1610290071154,
1610290071654,ribcage,1826,1610290071254,
1610290071654,ribcage,1829,1610290071354,
1610290071654,ribcage,1823,1610290071454,
1610290071654,ribcage,1819,1610290071554,
1610290071654,ribcage,1822,1610290071654,
1610290072113,abdomen,1784,1610290071513,
1610290072113,abdomen,1771,1610290071613,
1610290072113,abdomen,1776,1610290071713,
1610290072113,abdomen,1770,1610290071813,
1610290072113,abdomen,1760,1610290071913,
1610290072113,abdomen,1760,1610290072013,
1610290072113,abdomen,1754,1610290072113,
1610290072351,ribcage,1811,1610290071751,
1610290072351,ribcage,1810,1610290071851,
1610290072351,ribcage,1809,1610290071951,
1610290072351,ribcage,1805,1610290072051,
1610290072351,ribcage,1804,1610290072151,
1610290072351,ribcage,1800,1610290072251,
1610290072351,ribcage,1802,1610290072351,
1610290072393,rr,888,
1610290072393,heartrate,68,
1610290072813,abdomen,1755,1610290072213,
1610290072813,abdomen,1752,1610290072313,
1610290072813,abdomen,1749,1610290072413,
1610290072813,abdomen,1752,1610290072513,
1610290072813,abdomen,1747,1610290072613,
1610290072813,abdomen,1754,1610290072713,
1610290072813,abdomen,1748,1610290072813,
1610290073054,ribcage,1795,1610290072454,
1610290073054,ribcage,1797,1610290072554,
1610290073054,ribcage,1793,1610290072654,
1610290073054,ribcage,1788,1610290072754,
1610290073054,ribcage,1789,1610290072854,
1610290073054,ribcage,1785,1610290072954,
1610290073054,ribcage,1786,1610290073054,
1610290073369,rr,970,
1610290073369,heartrate,68,
1610290073509,abdomen,1749,1610290072909,
1610290073509,abdomen,1747,1610290073009,
1610290073509,abdomen,1744,1610290073109,
1610290073509,abdomen,1752,1610290073209,
1610290073509,abdomen,1751,1610290073309,
1610290073509,abdomen,1752,1610290073409,
1610290073509,abdomen,1746,1610290073509,
1610290073750,ribcage,1782,1610290073150,
1610290073750,ribcage,1787,1610290073250,
1610290073750,ribcage,1786,1610290073350,
1610290073750,ribcage,1784,1610290073450,
1610290073750,ribcage,1790,1610290073550,
1610290073750,ribcage,1788,1610290073650,
1610290073750,ribcage,1793,1610290073750,
1610290074213,abdomen,1756,1610290073613,
1610290074213,abdomen,1760,1610290073713,
1610290074213,abdomen,1758,1610290073813,
1610290074213,abdomen,1772,1610290073913,
1610290074213,abdomen,1773,1610290074013,
1610290074213,abdomen,1776,1610290074113,
1610290074213,abdomen,1776,1610290074213,
1610290074367,rr,1111,
1610290074367,heartrate,68,
1610290074442,ribcage,1792,1610290073842,
1610290074442,ribcage,1801,1610290073942,
1610290074442,ribcage,1804,1610290074042,
1610290074442,ribcage,1812,1610290074142,
1610290074442,ribcage,1819,1610290074242,
1610290074442,ribcage,1821,1610290074342,
1610290074442,ribcage,1833,1610290074442,
1610290074913,abdomen,1779,1610290074313,
1610290074913,abdomen,1787,1610290074413,
1610290074913,abdomen,1787,1610290074513,
1610290074913,abdomen,1796,1610290074613,
1610290074913,abdomen,1794,1610290074713,
1610290074913,abdomen,1795,1610290074813,
1610290074913,abdomen,1793,1610290074913,
1610290075146,ribcage,1834,1610290074546,
1610290075146,ribcage,1831,1610290074646,
1610290075146,ribcage,1835,1610290074746,
1610290075146,ribcage,1830,1610290074846,
1610290075146,ribcage,1826,1610290074946,
1610290075146,ribcage,1822,1610290075046,
1610290075146,ribcage,1826,1610290075146,
1610290075364,rr,1016,
1610290075364,heartrate,68,
1610290075674,abdomen,1776,1610290075074,
1610290075674,abdomen,1778,1610290075174,
1610290075674,abdomen,1772,1610290075274,
1610290075674,abdomen,1770,1610290075374,
1610290075674,abdomen,1762,1610290075474,
1610290075674,abdomen,1763,1610290075574,
1610290075674,abdomen,1760,1610290075674,
1610290075842,ribcage,1827,1610290075242,
1610290075842,ribcage,1818,1610290075342,
1610290075842,ribcage,1820,1610290075442,
1610290075842,ribcage,1817,1610290075542,
1610290075842,ribcage,1814,1610290075642,
1610290075842,ribcage,1807,1610290075742,
1610290075842,ribcage,1808,1610290075842,
1610290076309,abdomen,1750,1610290075709,
1610290076309,abdomen,1758,1610290075809,
1610290076309,abdomen,1748,1610290075909,
1610290076309,abdomen,1748,1610290076009,
1610290076309,abdomen,1744,1610290076109,
1610290076309,abdomen,1742,1610290076209,
1610290076309,abdomen,1740,1610290076309,
1610290076360,rr,1184,
1610290076360,heartrate,68,
1610290076542,ribcage,1803,1610290075942,
1610290076542,ribcage,1795,1610290076042,
1610290076542,ribcage,1793,1610290076142,
1610290076542,ribcage,1787,1610290076242,
1610290076542,ribcage,1790,1610290076342,
1610290076542,ribcage,1788,1610290076442,
1610290076542,ribcage,1786,1610290076542,
1610290077010,abdomen,1738,1610290076410,
1610290077010,abdomen,1742,1610290076510,
1610290077010,abdomen,1736,1610290076610,
1610290077010,abdomen,1738,1610290076710,
1610290077010,abdomen,1735,1610290076810,
1610290077010,abdomen,1733,1610290076910,
1610290077010,abdomen,1743,1610290077010,
1610290077242,ribcage,1787,1610290076642,
1610290077242,ribcage,1788,1610290076742,
1610290077242,ribcage,1787,1610290076842,
1610290077242,ribcage,1787,1610290076942,
1610290077242,ribcage,1792,1610290077042,
1610290077242,ribcage,1795,1610290077142,
1610290077242,ribcage,1795,1610290077242,
1610290077357,rr,1234,
1610290077357,heartrate,67,
1610290077708,abdomen,1744,1610290077108,
1610290077708,abdomen,1759,1610290077208,
1610290077708,abdomen,1757,1610290077308,
1610290077708,abdomen,1765,1610290077408,
1610290077708,abdomen,1770,1610290077508,
1610290077708,abdomen,1768,1610290077608,
1610290077708,abdomen,1782,1610290077708,
1610290077942,ribcage,1803,1610290077342,
1610290077942,ribcage,1807,1610290077442,
1610290077942,ribcage,1816,1610290077542,
1610290077942,ribcage,1814,1610290077642,
1610290077942,ribcage,1830,1610290077742,
1610290077942,ribcage,1835,1610290077842,
1610290077942,ribcage,1833,1610290077942,
1610290078355,rr,1046,
1610290078355,heartrate,66,
1610290078412,abdomen,1781,1610290077812,
1610290078412,abdomen,1790,1610290077912,
1610290078412,abdomen,1789,1610290078012,
1610290078412,abdomen,1802,1610290078112,
1610290078412,abdomen,1797,1610290078212,
1610290078412,abdomen,1791,1610290078312,
1610290078412,abdomen,1788,1610290078412,
1610290078642,ribcage,1844,1610290078042,
1610290078642,ribcage,1840,1610290078142,
1610290078642,ribcage,1833,1610290078242,
1610290078642,ribcage,1827,1610290078342,
1610290078642,ribcage,1825,1610290078442,
1610290078642,ribcage,1820,1610290078542,
1610290078642,ribcage,1812,1610290078642,
1610290079110,abdomen,1777,1610290078510,
1610290079110,abdomen,1780,1610290078610,
1610290079110,abdomen,1779,1610290078710,
1610290079110,abdomen,1771,1610290078810,
1610290079110,abdomen,1769,1610290078910,
1610290079110,abdomen,1761,1610290079010,
1610290079110,abdomen,1757,1610290079110,
1610290079342,ribcage,1804,1610290078742,
1610290079342,ribcage,1797,1610290078842,
1610290079342,ribcage,1796,1610290078942,
1610290079342,ribcage,1787,1610290079042,
1610290079342,ribcage,1786,1610290079142,
1610290079342,ribcage,1786,1610290079242,
1610290079342,ribcage,1778,1610290079342,
1610290079430,rr,1045,
1610290079430,heartrate,65,
1610290079812,abdomen,1747,1610290079212,
1610290079812,abdomen,1752,1610290079312,
