secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
67,0,166,0.10211,11.5884,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
68,0,166,0.10539,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
69,0,165,0.1087,11.9232,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
70,0,165,0.11198,11.79,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
71,0,165,0.11519,11.556,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
72,0,165,0.11834,11.3544,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
73,0,165,0.12147,11.2536,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
74,0,165,0.12462,11.3544,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
75,0,165,0.12779,11.4192,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
76,0,165,0.13097,11.4552,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
77,0,165,0.13417,11.4876,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
78,0,165,0.13734,11.4192,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
79,0,165,0.14049,11.3544,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
80,0,165,0.14364,11.3184,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
81,0,165,0.14677,11.286,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
82,0,165,0.14993,11.3868,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
83,0,165,0.15314,11.52,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
84,0,165,0.15639,11.6892,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
85,0,165,0.15967,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
86,0,165,0.16298,11.9232,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
87,0,165,0.16631,11.9916,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
88,0,165,0.16966,12.06,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
89,0,165,0.17303,12.1248,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
90,0,165,0.17641,12.1608,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
91,0,165,0.17978,12.1608,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
92,0,165,0.18315,12.1248,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
93,0,165,0.1865,12.06,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
94,0,165,0.18985,12.024,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
95,0,165,0.19315,11.9232,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
96,0,165,0.19645,11.8584,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
97,0,165,0.19973,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
98,0,165,0.20301,11.79,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
99,0,165,0.20628,11.79,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
100,0,165,0.20954,11.7216,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
101,0,165,0.21279,11.6892,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
102,0,165,0.21602,11.6568,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
103,0,165,0.21926,11.6568,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
104,0,165,0.22249,11.6208,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
105,0,165,0.22571,11.5884,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
106,0,165,0.22893,11.5884,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
107,0,165,0.23215,11.5884,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
108,0,165,0.23539,11.6892,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
109,0,165,0.23867,11.79,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
110,0,165,0.24195,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
111,0,165,0.24524,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
112,0,165,0.24852,11.8224,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
113,0,165,0.2518,11.79,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
114,0,165,0.25506,11.7576,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
115,0,165,0.2583,11.6568,0,0,0,0.00000000,0.00000000,0,0,23,0,-255,0,0,0,0,0,0,0,0
116,0,164,0.2615,11.52,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
117,0,164,0.2647,11.52,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
118,0,164,0.2679,11.52,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
119,0,164,0.27109,11.4876,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
120,0,164,0.27426,11.3868,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
121,0,164,0.27741,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
122,0,164,0.28056,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
123,0,164,0.28371,11.3184,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
124,0,164,0.28684,11.286,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
125,0,164,0.28997,11.2536,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
126,0,164,0.2931,11.2536,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
127,0,165,0.29622,11.2536,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
128,0,165,0.29936,11.286,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
129,0,165,0.30249,11.286,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
130,0,164,0.30563,11.286,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
131,0,164,0.30875,11.2536,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
132,0,164,0.31189,11.286,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
133,0,165,0.31503,11.3184,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
134,0,166,0.3182,11.3868,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
135,0,166,0.32138,11.4552,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
136,0,166,0.32456,11.4552,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
137,0,166,0.32773,11.4192,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
138,0,166,0.33089,11.3868,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
139,0,166,0.33406,11.3868,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
140,0,166,0.33721,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
141,0,166,0.34036,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
142,0,166,0.34354,11.4192,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
143,0,166,0.34672,11.4552,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
144,0,166,0.34991,11.4876,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
145,0,166,0.3531,11.4876,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
146,0,166,0.35629,11.4876,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
147,0,166,0.35948,11.4876,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
148,0,166,0.36269,11.556,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
149,0,166,0.36593,11.6568,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
150,0,166,0.36918,11.6892,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
151,0,166,0.37244,11.7216,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
152,0,166,0.37571,11.79,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
153,0,166,0.379,11.8584,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
154,0,166,0.38231,11.8908,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
155,0,166,0.38562,11.9232,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
156,0,166,0.38894,11.9592,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
157,0,166,0.39223,11.8584,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
158,0,166,0.39552,11.8224,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
159,0,166,0.3988,11.8224,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
160,0,166,0.4021,11.8584,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
161,0,166,0.40533,11.6208,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
162,0,166,0.40897,11.6208,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
163,0,166,0.41177,11.556,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
164,0,167,0.41497,11.52,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
165,0,167,0.41814,11.4192,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
166,0,167,0.42129,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
167,0,167,0.42444,11.3184,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
168,0,167,0.42759,11.3544,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
169,0,167,0.43075,11.3868,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
170,0,167,0.43397,11.5884,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
171,0,167,0.43725,11.79,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
172,0,167,0.44051,11.7576,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
173,0,167,0.44375,11.6568,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
174,0,167,0.44699,11.6568,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
175,0,167,0.4502,11.556,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
176,0,167,0.45315,10.6128,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
177,0,167,0.45586,9.774,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
178,0,167,0.45845,9.306,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
179,0,167,0.46126,10.1124,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
180,0,167,0.46416,10.4472,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
181,0,167,0.46707,10.4796,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
182,0,167,0.46986,10.044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
183,0,167,0.47255,9.6732,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
184,0,167,0.47522,9.6408,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
185,0,167,0.4782,10.7136,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
186,0,167,0.48132,11.2176,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
187,0,167,0.48446,11.3184,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
188,0,167,0.48736,10.4472,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
189,0,167,0.49014,10.0116,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
190,0,167,0.49287,9.81,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
191,0,167,0.49552,9.54,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
192,0,167,0.49813,9.4068,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
193,0,167,0.5007,9.2376,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
194,0,167,0.50323,9.1044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
195,0,167,0.50575,9.1044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
196,0,167,0.50828,9.1044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
197,0,167,0.51081,9.1044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
198,0,167,0.51333,9.0684,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
199,0,167,0.51585,9.0684,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
200,0,167,0.51845,9.3708,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
201,0,167,0.52121,9.9108,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
202,0,167,0.52415,10.6128,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
203,0,167,0.52695,10.0764,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
204,0,167,0.52962,9.6084,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
205,0,167,0.53218,9.2052,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
206,0,167,0.53473,9.1692,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
207,0,167,0.53741,9.6732,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
208,0,167,0.54022,10.1124,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
209,0,167,0.54311,10.4148,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
210,0,167,0.54606,10.6128,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
211,0,167,0.54905,10.7496,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
212,0,167,0.55191,10.314,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
213,0,167,0.55467,9.9432,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
214,0,167,0.55738,9.7416,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
215,0,167,0.56012,9.8748,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
216,0,167,0.56291,10.044,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
217,0,167,0.56564,9.81,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
218,0,167,0.56829,9.54,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
219,0,167,0.57085,9.2376,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
220,0,167,0.57336,9.036,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
221,0,167,0.57583,8.8668,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
222,0,167,0.57826,8.766,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
223,0,167,0.58074,8.9028,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
224,0,167,0.58323,8.9676,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
464,0,89,0.5848,5.6772,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
465,0,91,0.58638,5.6772,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
466,0,95,0.58796,5.6772,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
467,0,98,0.58953,5.6772,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
468,0,98,0.59113,5.7456,0,0,0,0.00000000,0.00000000,0,0,22,0,-255,0,0,0,0,0,0,0,0
